GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
FP4SocialNetwork,com.danit.socialnetwork.service,PasswordChangerService,34,27,2,0,10,6,4,2,3,2
FP4SocialNetwork,com.danit.socialnetwork.service,MailSenderImpl,0,28,0,0,0,8,0,2,0,2
FP4SocialNetwork,com.danit.socialnetwork.service,UserServiceImpl,132,155,14,4,28,30,13,8,5,7
FP4SocialNetwork,com.danit.socialnetwork.rest,PasswordRestController.UserEmail,74,0,14,0,2,0,13,0,6,0
FP4SocialNetwork,com.danit.socialnetwork.rest,JwtAuthenticationRestController,101,12,4,0,25,1,4,1,2,1
FP4SocialNetwork,com.danit.socialnetwork.rest,PasswordRestController,125,18,8,0,24,3,7,2,3,2
FP4SocialNetwork,com.danit.socialnetwork.rest,UserRestController,175,18,6,0,41,3,11,2,8,2
FP4SocialNetwork,com.danit.socialnetwork.controller.mail,MailSender,78,7,0,0,20,2,1,2,1,2
FP4SocialNetwork,com.danit.socialnetwork.controller.mail,MailSender.new Authenticator() {...},20,0,0,0,2,0,2,0,2,0
FP4SocialNetwork,com.danit.socialnetwork.security,JwtUserDetailsService,42,6,0,0,11,1,3,1,3,1
FP4SocialNetwork,com.danit.socialnetwork.security,WebSecurityConfig,102,208,2,0,22,34,3,8,2,8
FP4SocialNetwork,com.danit.socialnetwork.security,JwtAuthenticationEntryPoint,5,3,0,0,2,1,1,1,1,1
FP4SocialNetwork,com.danit.socialnetwork.security,JwtTokenService,67,18,2,0,21,7,4,2,3,2
FP4SocialNetwork,com.danit.socialnetwork.security,JwtAuthFilter,79,10,0,0,17,2,7,2,7,2
FP4SocialNetwork,com.danit.socialnetwork.security,JwtUserDetails,88,0,14,0,12,0,20,0,13,0
FP4SocialNetwork,com.danit.socialnetwork.exception.user,PhotoNotFoundException,13,0,0,0,6,0,3,0,3,0
FP4SocialNetwork,com.danit.socialnetwork.exception.user,UserNotFoundException,13,0,0,0,6,0,3,0,3,0
FP4SocialNetwork,com.danit.socialnetwork.exception.user,AppUserError,13,0,0,0,6,0,3,0,3,0
FP4SocialNetwork,com.danit.socialnetwork.exception.user,HeaderPhotoNotFoundException,13,0,0,0,6,0,3,0,3,0
FP4SocialNetwork,com.danit.socialnetwork.controller,PasswordChanger,22,8,0,0,6,2,1,1,1,1
FP4SocialNetwork,com.danit.socialnetwork.exception,AppError,13,0,0,0,6,0,3,0,3,0
FP4SocialNetwork,com.danit.socialnetwork.exception,GlobalExceptionHandler,21,7,0,0,5,2,1,2,1,2
FP4SocialNetwork,com.danit.socialnetwork.exception,ErrorResponse,141,0,18,0,6,0,21,0,12,0
FP4SocialNetwork,com.danit.socialnetwork.dto,RegistrationRequest,315,0,62,0,8,0,50,0,19,0
FP4SocialNetwork,com.danit.socialnetwork.dto,ActivateCodeRequest,75,0,14,0,2,0,14,0,7,0
FP4SocialNetwork,com.danit.socialnetwork.dto,UsernameRequest,79,0,14,0,3,0,15,0,8,0
FP4SocialNetwork,com.danit.socialnetwork.dto,UserEmailRequest,115,0,22,0,3,0,20,0,9,0
FP4SocialNetwork,com.danit.socialnetwork.dto,SearchRequest,75,0,14,0,2,0,14,0,7,0
FP4SocialNetwork,com.danit.socialnetwork.dto,JwtRequest,155,0,30,0,4,0,26,0,11,0
FP4SocialNetwork,com.danit.socialnetwork.model,PasswordChangeRequests,151,18,32,2,2,3,24,4,7,4
FP4SocialNetwork,com.danit.socialnetwork.model,DbUser,410,45,85,5,12,6,59,10,14,10
FP4SocialNetwork,com.danit.socialnetwork,NetworkApp,5,7,0,0,2,2,1,2,1,2
FP4SocialNetwork,com.danit.socialnetwork.config,GuavaCache.new RemovalListener() {...},0,31,0,0,0,4,0,2,0,2
FP4SocialNetwork,com.danit.socialnetwork.config,GuavaCache,26,35,6,0,0,13,6,3,3,3
FP4SocialNetwork,com.danit.socialnetwork.config,JavaMailSenderConfig,0,47,0,0,0,11,0,2,0,2
